title,genres,keywords,overview
Look Who's Back,Comedy,"adolf hitler, third reich (iii reich 1933-45), black comedy, based on novel or book","When Adolf Hitler reawakens at the site of his former bunker in present-day Berlin, he is mistaken for a comedian and quickly becomes a media phenomenon."
Bunker of the Dead,"Horror, Comedy, Action","undead, found footage, zombie, gun, zombification, military base, firearm","After Using the instructions found in an old Jewish diary,  Markus and Thomas hope to gain access to a WW II underground military base formerly codenamed: Cerusit. It was used by the Nazis as a secret research institute and is shrouded in rumors to this day about the lost gold of the Third Reich. The entrance to the cave system, however, lies right within the restricted area of a U.S. military base.. the first of many problems Markus and Thomas will have to face."
Juna,"Drama, Science Fiction","human android relationship, love, future, race against time, dystopia",A dream shows Juna that she has only one last day to live. Ignorantly she initiated the process itself. The attempt to avert her fate failed. A story about the problem of artificial life.
Bossferatu,"Drama, Documentary, Comedy",mockumentary,The true story of Germany's biggest Boy Band.  Follow Adam and Tjark on their miraculous quest to bring the band back together.  Includes exclusive Interviews and brand new behind-the-scenes material.
GWF. Women Wrestling Revolution 10,"Drama, Action","pro wrestling, wrestling, female wrestler","Women's Wrestling Revolution 10. A new title holder, a new challenger and many debuts. 19:00: The action-packed finale and the great clash between the GWF World Champion and the winner of the Battlefield Match. A unique opportunity and a difficult challenge. The ultimate showdown between the biggest stars of the German Wrestling Federation."
Chemical Escape,Drama,"drug abuse, high school, drug dealer","Mark has to pass his exam in Chemistry, so he resorts to using drugs that will enhance his learning abilities. The pink pills though, come with side effects..."
The School of the Magical Animals,"Adventure, Family, Fantasy","magical creature, school","Ida has a hard time making friends. One day, her weird class teacher announces that everyone in the class will have a magical animal with them. Ida is put to the side of the fox Rabbat. Benni, just like Ida also an outsider, has the turtle Henrietta as a new companion. Together they have amazing adventures ahead of them, but will they be able to fulfill the main requirement of the Magic Pet Shop: to keep their new friends a secret from adults?"
Corsage,"Drama, History","biography, duringcreditsstinger","A fictional account of one year in the life of Empress Elisabeth of Austria. On Christmas Eve 1877, Elisabeth, once idolized for her beauty, turns 40 and is officially deemed an old woman; she starts trying to maintain her public image."
Hiraeth,"Mystery, Horror","surreal, surrealism, mysterious man, journey in the past, purgatory, surreal world, darkness, telephone","The story of a lonely young man as he inexplicably wakes up in his dark and empty apartment one day. What follows is his journey through this mysterious and unrecognizable world he is thrown into. As he tries to grasp the surreal occurrences happening around him, he comes closer to unraveling the truth behind his existence and his dark past."
Hotel Metamorphosis,Comedy,"suitcase, hotel, photography, maid, manequin",Twenty-year-old Dora works as a maid in a hotel and has access to all of the guests' belongings while they are away. This time she is interested in the suitcase of a guest in room 34 ...
Creedacio I,"Drama, Comedy, Action","sport, short film, boxing, inspirational, creedacio, anti-bullying, credacio, low budget","A poor and desolated boy is bullied by the rich kid from school. Amidst his despair, he finds solace: Boxing."
Beyond the Lights,"Romance, Drama","success, pop star, musician, mother daughter relationship, domineering mother, talent, woman director","Noni Jean is a hot new rising star. But not all is what it seems, and the pressure causes Noni to nearly fall apart - until she meets Kaz Nicol, a promising young cop and aspiring politician who's been assigned to her detail. Can Kaz's love give Noni the courage to find her own voice and break free to become the artist she was meant to be?"
The Guest,"Thriller, Mystery, Action","brawl, arms dealer, harassment, harsh, psychopath, iraq war veteran, diner, halloween costume, paranoid, ex soldier, grief, soldier, halloween, high school, aggressive, killing spree, sociopath, bullying, murder","A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence."
Nightcrawler,"Crime, Thriller, Drama","crime scene, psychological thriller, psychopath, journalism, underground, newsreel footage, character study, neo-noir, ethics, stakeout, job interview, cynicism, los angeles, sociopath, home invasion, police scanner, news business, stringer, california","When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran."
Poltergeist,Horror,"haunted house, poltergeist, remake, duringcreditsstinger","A family's suburban home is invaded by angry spirits. When the terrifying apparitions escalate their attacks and take the youngest daughter, the family must come together to rescue her."
Mary Jane's Not a Virgin Anymore,"Romance, Drama, Comedy","death, punk rock, illegal drugs",A high schooler from suburbia gets in touch with her sexuality while working at a dingy movie theater in the city.
Laggies,"Romance, Drama, Comedy","coming of age, female protagonist, parent child relationship, mumblecore, friendship, young women, woman director","Overeducated and underemployed, 28 year old Megan is in the throes of a quarterlife crisis. Squarely into adulthood with no career prospects, no particular motivation to think about her future and no one to relate to, Megan is comfortable lagging a few steps behind - while her friends check off milestones and celebrate their new grown-up status. When her high-school sweetheart proposes, Megan panics and- given an unexpected opportunity to escape for a week - hides out in the home of her new friend, 16-year old Annika and Annika's world-weary single dad Craig."
Rudderless,"Drama, Music, Comedy","rock band, grieving father, parent child relationship, reflective, sympathetic, mourning","A grieving father in a downward spiral stumbles across a box of his recently deceased son's demo tapes and lyrics. Shocked by the discovery of this unknown talent, he forms a band in the hope of finding some catharsis."
Infinitely Polar Bear,"Drama, Comedy","absent parent, bipolar disorder, bipolar, semi autobiographical, woman director","A manic-depressive mess of a father tries to win back his wife by attempting to take full responsibility of their two young, spirited daughters, who don't make the overwhelming task any easier."
Song One,Drama,woman director,"Estranged from her family, Franny returns home when an accident leaves her brother comatose. Retracing his life as an aspiring musician, she tracks down his favorite musician, James Forester. Against the backdrop of Brooklyn’s music scene, Franny and James develop an unexpected relationship and face the realities of their lives."
Whiplash,"Drama, Music","young adult, concert, obsession, music teacher, public humiliation, jazz, music school, conservatory, based on short film, montage, jazz band, new york city","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity."
The King's Daughter,"Adventure, Family, Fantasy","period drama, quest, mermaid, illegitimate child, 17th century, immortality, based on novel or book","King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature."
Kill the Messenger,"Crime, Thriller, Drama, Mystery","cia, biography, crack cocaine, american journalist, san jose, government conspiracy, investigative journalism, drug trafficking, california",A reporter becomes the target of a vicious smear campaign that drives him to the point of suicide after he exposes the CIA's role in arming Contra rebels in Nicaragua and importing cocaine into California. Based on the true story of journalist Gary Webb.
Every Thing Will Be Fine,Drama,"loss of child, accidental death, canada","One day, driving aimlessly around the outskirts of town after a trivial domestic quarrel, a writer named Tomas accidentally hits and kills a child. Will he be able to move on?"
Tusk,"Horror, Comedy","walrus, mysterious man, interview, obsession, canada, deception, cruel, disfigurement, whimsical, turned into animal, abduction, podcaster","When his best friend and podcast co-host goes missing in the backwoods of Canada, a young guy joins forces with his friend's girlfriend to search for him."
What We Do in the Shadows,"Horror, Comedy","fraternity, commune, new zealand, suburb, found footage, zombie, aftercreditsstinger, heartbreak, vampire, wellington new zealand, nosferatu, werewolf, mockumentary, friendship, communal living",Vampire housemates try to cope with the complexities of modern life and show a newly turned hipster some of the perks of being undead.
Jessica Simpson: Reality Tour Live,Music,concert film,"Reality Tour Live captures an outstanding performance from Jessica Simpson’s successful 2004 concert series. Shot in Los Angeles, this includes her biggest hits, footage from the hit series Newlyweds: Nick and Jessica and more!"
Barely Lethal,"Romance, Adventure, Comedy, Action","agent, assassin, high school",A 16-year-old international assassin yearning for a normal adolescence fakes her own death and enrolls as a senior in a suburban high school. She quickly learns that being popular can be more painful than getting water-boarded.
Hitman: Agent 47,"Crime, Thriller, Action","killer, secret identity, assassin, hitman, based on video game, execution, intelligence",An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.
If I Stay,Drama,"teenage girl, out of body experience, based on young adult novel, musician, teen drama, coma, car accident, based on novel or book","Mia Hall, a talented young cellist, thought the most difficult decision she would ever have to make would be whether to pursue her musical dreams at prestigious Juilliard or follow her heart to be with the love of her life, Adam, a rock singer/guitarist. However, a car wreck changes everything in an instant, and now Mia's life hangs in the balance. Suspended between life and death, Mia faces a choice that will decide her future."
The Diary of a Teenage Girl,"Romance, Drama","1970s, teenage girl, older man younger woman relationship, teenage sexuality, comic book artist, female sexuality, based on graphic novel, based on comic, coming of age, san francisco, woman director, california","Minnie Goetze is a 15-year-old aspiring comic-book artist, coming of age in the haze of the 1970s in San Francisco. Insatiably curious about the world around her, Minnie is a pretty typical teenage girl. Oh, except that she’s sleeping with her mother’s boyfriend."
A Girl Walks Home Alone at Night,"Romance, Horror","prostitution, vampire, vampiress (female vampire), black and white, loneliness, drugs, woman director","In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire."
'71,"Thriller, Drama, War, Action","1970s, survival, riot, northern ireland, belfast, ira (irish republican army), combat, abandoned, soldier, explosion, north ireland",A young British soldier must find his way back to safety after his unit accidentally abandons him during a riot in the streets of Belfast.
While We're Young,"Drama, Mystery, Comedy","father-in-law, marriage, hipster, middle age, documentary filmmaking, generation z, psychedelic drug, generation-x",An uptight documentary filmmaker and his wife find their lives loosened up a bit after befriending a free-spirited younger couple.
Moms' Night Out,Comedy,"stress, husband wife relationship, parenthood, parent child relationship, parenting, duringcreditsstinger","Yearning for an evening without their kids, some friends plan a night out. But to do this, their husbands need to watch the kids. What can go wrong?"
And So It Goes,"Romance, Drama, Comedy","estrangement, neighbor, elderly man, self-centered, estranged son, elderly, realtor, falling in love, wealthy, grandparent grandchild relationship, real estate agent, granddaughter, elderly woman, ornery","Nobody likes self-centered realtor Oren Little, and he prefers it that way. He's deliberately mean to anyone who crosses his path and wants nothing more than to sell one final house and retire. His life turns upside-down when his estranged son drops off a granddaughter he never knew existed. Suddenly left in charge of her and with no idea how to take care of a child, he pawns the girl off on his neighbor, Leah -- but he eventually learns how to open his heart."
The Trials of Cate McCall,Drama,woman director,"In order to be reinstated to the bar and recover custody of her daughter, a hotshot lawyer, now in recovery and on probation, must take on the appeal of a woman wrongfully convicted of murder."
Black or White,Drama,"grieving widower, widower","A grieving widower is drawn into a custody battle over his granddaughter, whom he helped raise her entire life."
Rock the Kasbah,"War, Music, Comedy","record producer, redemption, singer, ex-boyfriend, last chance, afghanistan, jealousy","A washed-up music producer finds one last shot at redemption with a golden-voiced young girl in Afghanistan. However, when jealousy gets the better of a disgruntled ex-boyfriend, he decides to oppose the young star with talent of his own."
The Lobster,"Romance, Drama, Comedy","suicide attempt, hotel, punishment, grave digging, dystopia, boat, woods, shooting an animal, swimming, manhunt, dead rabbit","In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into animals and sent off into The Woods."
Pitch Perfect 2,"Music, Comedy","sequel, singing competition, music movie, group of friends, singer, audition, acapella, woman director, duringcreditsstinger","The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams."
Brick Mansions,"Crime, Drama, Action","sequel, ghetto, parkour, undercover cop, detroit, atomic bomb, dystopia, fighting, michigan, hand to hand combat, cop, gangster, martial arts","In a dystopian Detroit, grand houses that once housed the wealthy are now homes of the city's most-dangerous criminals. Surrounding the area is a giant wall to keep the rest of Detroit safe. For undercover cop Damien Collier, every day is a battle against corruption as he struggles to bring his father's killer, Tremaine, to justice. Meanwhile, Damien and an ex-con named Lino work together to save the city from a plot to destroy it."
The November Man,"Crime, Thriller, Action","cia, retired, agent, montenegro, based on novel or book",An ex-CIA operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level CIA officials and the Russian president-elect.
Manglehorn,Drama,"texas, cat, small town, locksmith, locked in a car","AJ Manglehorn is an aging, ordinary guy in a small town. He nurses his sick cat, squeezes out a conversation with the local bank teller every Friday, and eats at the same place every day.  But there is more to Manglehorn than meets the eye: he’s an ex-con who, 40 years ago, gave up the woman of his dreams for a big ‘job’. After a dramatic effort to start over, Manglehorn faces a terrifying moment and is unmasked as a guy with a very, very dark past."
Escobar: Paradise Lost,"Romance, Thriller","murderer, surfer, murder","For Pablo Escobar family is everything. When young surfer Nick falls for Escobar's niece, Maria, he finds his life on the line when he's pulled into the dangerous world of the family business."
"As Above, So Below","Thriller, Horror","archaeologist, paris, treasure, found footage, scientist, loss of loved one, france, female protagonist, adventurer, subjective camera, archeology, catacombs, philosopher's stone, female archeologist","When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead."
Focus,"Crime, Romance, Comedy","con man, seduction, deception, con artist, rivalry, illusion, femme fatale, illusionist","Nicky, an accomplished con artist, gets romantically involved with his disciple Jess but later ends their relationship. Years later, she returns as a femme fatale to spoil his plans."
Flame and the Flesh,Drama,"gigolo, spain, based on novel or book",American woman in Europe romanced by local gigolo; problems ensue.
The Water Diviner,"Drama, War","australia, farmer, gallipoli campaign, based on true story, missing son, missing in action, post world war i","In 1919, Australian farmer Joshua Connor travels to Turkey to discover the fate of his three sons, reported missing in action. Holding on to hope, Joshua must travel across the war-torn landscape to find the truth and his own peace."
Danny Collins,"Drama, Music, Comedy","concert, rock star, musician, middle age, based on true story, los angeles, california",An ageing hard-living 1970s rock star decides to change his life when he discovers a 40-year-old undelivered letter written to him by John Lennon.
Paul Blart: Mall Cop 2,"Family, Comedy, Action","shopping mall, las vegas, security guard","Security guard Paul Blart is headed to Las Vegas to attend a Security Guard Expo with his teenage daughter Maya before she departs for college. While at the convention, he inadvertently discovers a heist - and it's up to Blart to apprehend the criminals."
Little Boy,"Drama, War, Comedy","world war ii, spirituality",An eight-year-old boy is willing to do whatever it takes to end World War II so he can bring his father home. The story reveals the indescribable love a father has for his little boy and the love a son has for his father.
Point Break,"Crime, Thriller, Adventure, Action","undercover agent, fbi, undercover, extreme sports, remake","A young undercover FBI agent infiltrates a gang of thieves who share a common interest in extreme sports. A remake of the 1991 film, Point Break."
Get Hard,Comedy,"securities, prison, celebrity cameo, job promotion, south central los angeles, wrongful conviction, fbi, stocks and bonds, rich man, car wash, racial stereotype, gang, entrepreneur, ignorance, training, engagement party, wealth differences, cultural difference, fiancée, maximum security prison, embezzlement, house arrest, los angeles, betrayal, prison sentence, dating boss' daughter, securities fraud, capoeira, california","When obscenely rich hedge-fund manager James is convicted of fraud and sentenced to a stretch in San Quentin, the judge gives him one month to get his affairs in order. Knowing that he won't survive more than a few minutes in prison on his own, James desperately turns to Darnell-- a black businessman who's never even had a parking ticket -- for help. As Darnell puts James through the wringer, both learn that they were wrong about many things, including each other."
The Intern,Comedy,"senior citizen, social media, fish out of water, office, tai chi, intern, ceo, gentleman, professional woman, city life, masseuse, internet, internship, driver, brooklyn, website, chivalry, business start-up, father figure, san francisco, friendship, retailer, retired life, elderly widower, e-comm, online store, woman director, new york city, california","70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin."
The Darkness,"Thriller, Horror","bulimia, autism, haunting, dog, self sacrifice, snake, demon, haunted house, infidelity, grand canyon, native american folklore, portal to hell",A family returns from a Grand Canyon vacation with a supernatural presence in tow.
Term Life,"Thriller, Drama, Mystery, Action","young daughter, gun battle, based on comic, gun, dead widow, cop parent","If Nick Barrow can stay alive for 21 days, he'll die happy. Everyone Nick knows wants him dead; Mob bosses, contract killers, and dirty cops. Performing the last act of a desperate man, Nick takes out a million dollar insurance policy on himself, payable to his estranged daughter. The problem? The policy doesn't take effect for 21 days. Nick knows they'll be lucky to be alive for twenty-one hours."
Last Flight,"Thriller, Action",airplane,"As an old Boing 747 takes off for its last red-eye flight from a small Pacific island, unusual events occur intermittently. While all the passengers are panic, the captain and the chief flight attendant try to lead the investigation."
Tulip Fever,"Romance, Drama","period drama, 17th century, netherlands, painter, tulips, portrait painting, based on novel or book",An artist falls for a married young woman while he's commissioned to paint her portrait. The two invest in the risky tulip market in hopes to build a future together.
A Monster Calls,"Drama, Fantasy","monster, tree, cancer, truth, artist, dream, bully, nightmare, grandmother, grandparent grandchild relationship, disease, terminal illness, bullying, based on novel or book",A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.
Carol,"Romance, Drama","lesbian, chicago, hotel, road trip, photography, new year's eve, age difference, lgbt, lesbian sex, illinois, divorce, parent child relationship, 1950s, child custody, lesbian relationship, department store, older woman younger woman relationship, santa hat, new york city, based on novel or book","In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman."
The Legend of Tarzan,"Adventure, Fantasy, Action","animal attack, tarzan, africa, jungle, feral child","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
Convention City,Comedy,pre-code,Extra-marital fun and games at a convention of the Honeywell Rubber Company in Atlantic City.
Short Stack Live at the Sydney Opera House,"Documentary, Music","australia, music record, rock star, live, punk rock","In the pinnacle of their Stack Is The New Black national tour, Short Stack play the Sydney Opera House in a sold out mega-show."
Taken 3,"Thriller, Action","sequel, on the run, ex-cia agent, father daughter relationship, unhappy marriage, russian, tense, group of friends, elevator, funeral, confusion, surveillance camera, morgue, foot chase, mystery, homicide investigation, failing marriage, rich husband, stepfather stepdaughter relationship, police surveillance, penthouse apartment, police chase, escape, anger, golf, detective, protective father, gas station, evasion, ex-husband ex-wife relationship, murder investigation, ex special forces, spetsnaz, army veteran, suspicion of murder, death of mother, college student, police inspector, fugitive, bodyguard, explosion, secret hideout, car crash, deep sadness, wanted man, framed for murder, shootout, in love with ex, death of ex, honorable, gps, money problems, spy tech, prime suspect, secret investigation, enemy, outsmart, unplanned pregnancy, owe money to criminals, innocent suspect, lost money, associates, special skills, murder, california","Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice."
American Ultra,"Comedy, Action","cia, neurotic, surprising, small town, black ops, secrets, boyfriend girlfriend relationship, memory loss, stoner, slacker, convenience store, in love, woman agent, secret project","Mike is an unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe, is suddenly turned upside down.  Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive."
VeggieTales: Josh and the Big Wall,"Family, Animation","christian, biblical, funny","A lesson in obedience, it's the Bible story of Joshua and the Walls of Jericho as told by our beloved Veggies. After 40 years of wandering in the desert, the children of Israel finally get to go to the Promised Land! Only one little thing they've overlooked ... the city of Jericho and its massive wall! Josh will have to decide whether it's better to do things his way or God's way!"
Allegiant,"Adventure, Mystery, Science Fiction, Action","sequel, revolution, dystopia, based on young adult novel, based on novel or book",Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.
Automata,"Thriller, Science Fiction","hitman, 2040s, artificial intelligence (a.i.), future, dystopia, desert, robot, ecology, ai","Jacq Vaucan, an insurance agent of ROC robotics corporation, routinely investigates the case of manipulating a robot. What he discovers will have profound consequences for the future of humanity."
Monster Trucks,"Science Fiction, Comedy, Action","monster, live action and animation, small town, pickup truck, monster truck","Tripp is a high school senior with a knack for building trucks who makes an incredible discovery - a gas-guzzling creature named Creech. To protect his mischievous new friend, Tripp hides Creech under the hood of his latest creation, turning it into a real-life super-powered Monster Truck. Together, this unlikely duo with a shared taste for speed team up on a wild and unforgettable journey to reunite Creech with his family."
Shaun the Sheep Movie,"Adventure, Family, Animation, Comedy","disguise, dog, best friend, claymation, stop motion, farmer, hospitalization, hairstylist, sheep, amnesia, hospital, memory loss, countryside, plasticine, sheep farm","When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home."
The Homesman,"Drama, Western","abusive marriage, lost in the desert, wild west, revenge, dancing, native american, prison wagon, buffalo skin, driven insane, refused services, based on novel or book","When three women living on the edge of the American frontier are driven mad by harsh pioneer life, the task of saving them falls to the pious, independent-minded Mary Bee Cuddy. Transporting the women by covered wagon to Iowa, she soon realizes just how daunting the journey will be, and employs a low-life drifter, George Briggs, to join her. The unlikely pair and the three women head east, where a waiting minister and his wife have offered to take the women in. But the group first must traverse the harsh Nebraska Territories marked by stark beauty, psychological peril and constant threat."
Ex Machina,"Drama, Science Fiction","manipulation, distrust, android, human android relationship, technology, philosophical, surveillance camera, artificial intelligence (a.i.), laboratory, consciousness, deception, robot, existentialism, gynoid, dancing, norway, power outage, isolation, lockdown, female cyborg, friendship, turing test, cybernetics","Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl."
Sisters,Comedy,"orlando florida, childhood home, sibling relationship",Two disconnected sisters are summoned to clean out their childhood bedrooms before their parents sell their family home.
Table for Five,"Romance, Drama","sea cruise, family vacation, cruise ship, cruise, family relationships, mediterranean sea","J.P. Tannen (Jon Voight) wants a second chance to be a father to his children ... but someone else has taken his place. Determined not to just be a friendly 'uncle' in their lives, he gets permission from his ex-wife Kathleen (Millie Perkins) and her new husband (Richard Crenna) to take the kids on a Mediterranean cruise. On the journey he comes to realise it's not that easy and, feeling overwhelmed, begins to doubt his abilities until a tragedy back home forces him to become the father he always hoped to be."
The Gunman,"Crime, Drama, Action","assassin, hitman, interpol, revenge, mercenary, village","Eight years after fleeing the Congo following his assassination of that country's minister of mining, former assassin Jim Terrier is back, suffering from PTSD and digging wells to atone for his violent past. After an attempt is made on his life, Terrier flies to London to find out who wants him dead -- and why. Terrier's search leads him to a reunion with Annie, a woman he once loved, who is now married to an oily businessman with dealings in Africa."
London Has Fallen,"Thriller, Action","political assassination, terrorism, london, usa president, england, terrorist attack","In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders."
The BFG,"Adventure, Family, Fantasy","cannibal, based on children's book, giant, london, orphan, live action remake, england, queen, little girl, evil brother","The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!"
Captain Underpants: The First Epic Movie,"Family, Animation, Comedy, Action","principal, based on children's book, school, comic book, superhero, underwear, sock puppet, friendship, grade school, based on novel or book","Based on the bestselling book series, DreamWorks Animation presents the long-awaited global movie event, Captain Underpants. This outrageous family comedy tells the story of two overly imaginative pranksters, George (Kevin Hart) and Harold (Thomas Middleditch), who hypnotize their principal (Ed Helms) into thinking he’s an enthusiastic, yet dimwitted, superhero named Captain Underpants."
"Hail, Caesar!","Crime, Comedy","ransom, period drama, film in film, movie star, old hollywood, cat, filmmaking, disappearance, ancient rome, kidnapping, whodunit, hollywood, journalist, 1950s","When a Hollywood star mysteriously disappears in the middle of filming, the studio sends their fixer to get him back."
Beyond Skyline,"Adventure, Science Fiction, Action","sequel, battlefield, survival, rescue, self sacrifice, resistance, father son relationship, alien, invasion, mixed martial arts, mind control, martial arts, paranoia","Detective Mark Corley storms his way onto an alien spaceship to rescue his estranged son. When the ship crashes in Southeast Asia, he forges an alliance with a band of survivors to take back the planet once and for all."
